1500-01	1500_A
alert-02	alert_A
alien-01	alien_A
alienate-01	alienation_N,alienate_V
align-01	aligned_A,alignment_N,align_V
alike-05	alike_A
alkalify-01	alkalify_V
alkylate-01	alkylate_V,alkylation_N
allay-01	allay_V
allege-01	allegation_N,allege_V
allegiant-01	allegiant_A
allergic-01	allergic_A
alleviate-01	alleviation_N,alleviate_V
alligator-01	alligator_V
allocate-01	allocation_N,allocate_V
allot-01	allotment_N,allot_V
allow-01	allow_V,allowance_N
allow-02	allow_V,allowance_N
allow-03	allow_V
allowable-04	allowable_A
allude-01	allude_V
allure-01	allure_V
ally-01	ally_V,alliance_N
alone-01	alone_A
alright-01	alright_A
alter-01	alter_V,alteration_N
altercation-01	altercation_N
alternate-01	alternate_V,alternation_N
amalgamate-01	amalgamate_V,amalgamation_N
amass-01	amass_V
amaze-01	amazing_A,amaze_V,amazed_A
ambiguous-01	ambiguous_A
ambitious-01	ambitious_A
amble-01	amble_V
ambulate-01	ambulation_N,ambulate_V
ambulatory-02	ambulatory_A
ambush-01	ambush_N,ambush_V
ameliorate-01	ameliorate_V
amenable-01	amenable_A
amend-01	amend_V,amendment_N
amendable-02	amendable_A
american-02	american_A
americanize-01	americanize_V
amicable-01	amicable_A
aminate-01	aminate_V,amination_N
amnesty-01	amnesty_N
amorous-01	amorous_A
amortize-01	amortize_V
amount-01	amount_V
amount-02	amount_V
amplify-01	amplification_N,amplified_A,amplify_V
amputate-01	amputation_N,amputate_V
amuse-01	amuse_V,amusement_N,amusing_A
anachronistic-01	anachronistic_A
analyze-01	analysis_N,analyze_N,analyze_V
anastomose-01	anastomose_V,anastomotic_A
anchor-01	anchor_V
anemic-01	anemic_A
anephric-01	anephric_A
anesthetize-01	anesthetize_V
aneurysmal-01	aneurysmal_A
anger-01	anger_V,angry_A
angioplasty-01	angioplasty_V
angle-01	angle_V
angle-02	angle_V
anglicize-01	anglicize_V
anguish-01	anguish_V
angulate-01	angulate_V,angulation_N,angulated_A
anicteric-01	anicteric_A
animalize-01	animalize_V
animate-01	animate_V,animation_N
animate-02	animate_V
ankylose-01	ankylosing_N,ankylose_V
annex-01	annex_V,annexation_N
annihilate-01	annihilation_N,annihilate_V
anniversary-01	anniversary_N
annotate-01	annotate_V,annotation_N
announce-01	announce_V,announcement_N,annnunciation_N,announcing_N
annoy-01	annoying_A,annoy_V,annoyed_A
annualize-01	annualize_V
annul-01	annul_V
anoint-01	anoint_V
anonymous-01	anonymous_A
anovulation-01	anovulation_N
answer-01	answer_V,answer_N,answering_N
answerable-02	answerable_A
antagonize-01	antagonize_V,antagonistic_A
antagonize-02	antagonize_V,antagonistic_A
antedate-01	antedate_V
anterior-01	anterior_A
antiassad-01	antiassad_A
anticipate-01	anticipation_N,anticipate_V
anticipate-02	anticipate_V
anticoagulate-101	anticoagulation_N,anticoagulated_A,anticoagulate_V
anticorruption-01	anticorruption_N
antique-01	antique_V
antiwar-01	antiwar_A
antsy-01	antsy_A
anuric-01	anuric_A
anxious-01	anxious_A
anxious-02	anxious_A
apartheidize-01	apartheidize_V,apartheidization_N
aphasic-01	aphasic_A
apologize-01	apologize_V,apology_N
apostatize-01	apostatize_V
appall-01	appalling_A,appall_V,appalled_A
appeal-01	appeal_N,appeal_V
appeal-02	appeal_V,appeal_N
appeal-03	appeal_N,appealing_A,appeal_V
appear-01	appear_V,appearance_N
appear-02	apparent_A,appearing_A,appear_V
appease-01	appease_V
appellation-01	appellation_N
append-01	append_V
applaud-01	applaud_V
applicable-05	applicable_A
applique-01	applique_V
apply-01	apply_V,application_N
apply-02	application_N,apply_V
apply-03	apply_V,application_N
apply-04	apply_V
appoint-01	appoint_V,appointment_N
appointment-02	appointment_N
apportion-01	apportion_V
appose-01	appose_V
appraise-01	appraise_V,appraisal_N
appraise-02	appraise_V
appreciate-01	appreciate_V
appreciate-02	appreciative_A,appreciation_N,appreciated_A,appreciate_V
appreciate-03	appreciate_V
apprehend-01	apprehend_V,apprehension_N
apprehend-03	apprehend_V,apprehension_N
apprehension-02	apprehension_N,apprehensive_A
apprentice-01	apprentice_V
apprise-01	apprise_V
approach-01	approach_V,approach_N
approach-02	approach_N,approach_V
approachable-03	approachable_A
appropriate-01	appropriation_N,appropriate_V,appropriating_N
appropriate-02	appropriate_A
approve-01	approve_V,approval_N
approximate-01	reapproximation_N,approximate_V,approximately_A,approximation_N
apt-01	apt_A
apt-02	apt_A
arbitrage-01	arbitrage_N,arbitrage_V
arbitrary-02	arbitrary_A
arbitrate-01	arbitrate_V,arbitration_N
arch-01	arch_V
archive-01	archive_V
argentinian-01	argentinian_A
arguable-03	arguable_A
argue-01	argue_V,argument_N
argue-02	argument_N,argue_V
arise-02	arise_V
arm-01	arm_V
arm_up-02	arm_up_V
armor-01	armored_A,armor_V
aromatize-01	aromatize_V
arousable-02	arousable_A
arouse-01	arouse_V
arraign-01	arraign_V
arrange-01	arrange_V,arrangement_N
array-01	array_V
arrest-01	arrest_N,arrest_V
arrest-02	arrest_V,arrest_N
arrive-01	arrive_V,arrival_N
arrogant-01	arrogant_A
arrogate-01	arrogate_V
arson-01	arson_N
articulate-01	articulate_V,articulation_N
articulate-02	articulate_A
artifactual-01	artifactual_A
ascend-01	ascending_A,ascent_N,ascension_N,ascending_N,ascend_V
ascend-02	ascending_N,ascend_V
ascertain-01	ascertain_V
ascribe-01	ascribe_V
ask-01	ask_V
ask-02	ask_V
ask-03	ask_V
ask_out-04	ask_out_V
aspect-01	aspect_V,aspect_N
asphalt-01	asphalt_V
asphalt_over-02	asphalt_over_V
asphyxiate-01	asphyxiate_V,asphyxiation_N
aspirate-101	aspirate_V,aspiration_N
aspirate-102	aspirate_V,aspiration_N
aspire-01	aspiration_N,aspire_V
assail-01	assail_V
assassinate-01	assassination_N,assassinate_V
assault-01	assault_V,assault_N
assay-01	assay_V,assay_N
assemble-01	assemble_V,assembly_N
assemble-02	assembly_N,assemble_V
assent-01	assent_V,assent_N
assert-01	assert_V
assert-02	assertion_N,assert_V
assert-03	assert_V
assess-01	assess_V,assessment_N
assess-02	assess_V
assign-01	assign_V,assignment_N
assimilate-01	assimilation_N,assimilate_V
assist-01	assistance_N,assist_V
associate-01	associated_A,association_N,associate_V
assuage-01	assuage_V
assume-01	assumption_N,assume_V
assume-02	assumption_N,assume_V
assure-01	assurance_N,assured_A,assure_V
asthmatic-01	asthmatic_A
astonish-01	astonished_A,astonish_V,astonishing_A
astound-01	astounding_A,astound_V
asymptomatic-01	asymp_A,asymptomatic_A
atherosclerotic-01	atherosclerotic_A
atomize-01	atomize_V
atone-01	atone_V,atonement_N
atraumatic-01	at_A,atraumatic_A
atretic-01	atretic_A
atrocity-01	atrocity_N
atrophy-01	atrophy_V,atrophic_A
attach-01	attachment_N,attach_V,attached_A
attack-01	attacking_N,attack_N,attack_V
attain-01	attain_V,attainment_N
attainable-02	attainable_A
attempt-01	attempt_N,attempt_V
attend-01	attend_V
attend-02	attentive_A,attention_N,attend_V,attending_N
attenuate-01	attenuate_V,attenuation_N,attenuated_A
attest-01	attest_V
attire-01	attire_V
attract-01	attract_V,attracted_A,attraction_N,attractive_A
attributable-02	attributable_A
attribute-01	attribute_V
attune-01	attune_V
atypical-01	atypical_A
auction-02	auction_V
auction_off-01	auction_off_V,auction_N
audacious-01	audacious_A
audible-02	audible_A
audit-01	audit_N,audit_V
audition-01	audition_V,audition_N
augment-01	augmentation_N,augment_V
augur-01	augur_V
auguster-01	auguster_V
auscultate-01	auscultation_N,auscultate_V
authentic-02	authentic_A
authenticate-01	authenticate_V,authentication_N
author-01	author_V
authoritarian-01	authoritarian_A
authorize-01	authorize_V,authorization_N
autoanticoagulate-01	autoanticoagulate_V,autoanticoagulation_N
autocorrelate-02	autocorrelate_V,auto-correlate_V,auto_correlate_V,autocorrelation_N,auto-correlation_N,auto_correlation_V
autograph-01	autograph_V
automate-01	automate_V,automation_N
autonomous-01	autonomous_A
autopsy-01	autopsy_V
autorefraction-01	autorefraction_N
autoreinvest-01	autoreinvest_V
autotitrate-01	autotitration_N,autotitrate_V
avail-01	avail_V
available-02	available_A
avalanche-01	avalanche_V,avalanche_N
avenge-01	avenge_V
aver-01	aver_V
average-01	averaging_N,average_V,average_N
average-03	average_A
average-04	average_A
averaging-02	averaging_N
aversion-01	averseness_N,averseness_A,aversion_N
avert-01	avert_V
aviation-01	aviation_N
avidity-01	avid_A,avidity_N,avidity_A
avoid-01	avoid_V
avulse-101	avulsion_N,avulse_V
await-01	await_V
awake-03	awake_A
award-01	award_N,award_V
aware-01	aware_A
awe-01	awesome_A,awe_V
awesome-02	awesome_A
awesome-03	awesome_A
awful-01	awful_A
awful-02	awful_A
awful-03	awful_A
awkward-01	awkward_A
awkward-02	awkward_A
axe-01	axe_V
baa-01	baa_V
babble-01	babble_V
babysit-01	babysit_V,babysitting_N
back-01	backing_N,back_V
back-02	back_V
back-03	back_V,back_A
back_off-11	back_off_V
back_up-04	back_up_V
back_up-06	back_up_V
back_up-08	back_up_V
back_up-09	back_up_V
back_up-10	back_up_V
backbite-01	backbite_V
backburn-01	backburn_V,back-burn_V,back_burn_V,backburn_N,back-burn_N,back_burn_N,backburning_N,back-burning_N,back_burning_N
backfire-01	backfire_V
backflip-01	backflip_V
backlash-01	backlash_N
backpack-01	backpack_V
backpedal-01	backpedal_V
backslap-01	backslap_V
backstab-01	backstabbing_N,backstab_V
backtrack-01	backtrack_V
backward-01	backward_A
backward-02	backward_A
bad-02	bad_A,worse_A,worst_A
bad-03	bad_A
bad-04	bad_A,worse_A,worst_A
bad-05	bad_A,worse_A,worst_A
bad-07	bad_A,worse_A,worst_A
bad_off-06	bad_off_A,worse_off_A
badger-01	badger_V
badmouth-01	badmouth_V
baffle-01	baffle_V
bag-01	bag_V
bag-02	bag_V
baidu-01	baidu_V
bail_out-01	bail_out_V
bail_out-02	bail_out_V
bait-01	bait_V,baiting_N
bait-02	bait_V,baiting_N
bait-03	bait_V
bake-01	bake_V,baking_N
balance-01	balance_V
balance_out-02	balance_out_V
bale-01	bale_V
balk-01	balk_V
balkanize-01	balkanize_V
ball-01	ball_V
ballet-01	ballet_N
balloon-01	balloon_V
balloon-02	balloon_V
ballot-01	ballot_N,ballot_V
ballyhoo-01	ballyhoo_V
bamboozle-01	bamboozle_V
ban-01	ban_V,banning_N
band-01	banding_N,band_V
bandage-01	bandage_V
bandage_up-03	bandage_up_V
bandy_about-01	bandy_about_V
bandy_around-02	bandy_around_V
bang-01	banging_N,bang_V
bang-02	bang_V,banging_N
bang-04	banging_N,bang_V
bang_on-03	bang_on_V
banish-01	banish_V
bank-01	bank_V,banking_N
bank-02	bank_V
bank-04	bank_V
bank_up-03	bank_up_V
bankroll-01	bankroll_V
bankrupt-01	bankrupt_A,bankrupt_V,bankruptcy_N
banquet-01	banquet_V
banter-01	banter_V
baptize-01	baptize_V
baptize-02	baptize_V
bar-01	bar_V
barb-01	barb_V
barbaric-01	barbaric_A
barbecue-01	barbecue_V
barbeque-01	barbeque_V
barcode-01	barcode_V,barcoding_N
bare-01	bare_V
bare-02	bare_A
bargain-01	bargain_V,bargain_N,bargaining_N
barge-01	barge_V
bark-01	bark_V
bark_up_the_wrong_tree-02	bark_up_the_wrong_tree_V
barmitzvah-01	barmitzvah_V
barnstorm-01	barnstorm_V
barrack-01	barrack_V
barrage-01	barrage_N,barrage_V
barrel-01	barrel_V
barricade-01	barricade_V
bartend-01	bartend_V
barter-01	barter_V,barter_N
base-01	base_V,based_A
base-02	base_V
baseless-01	baseless_A
bash-01	bash_V,bashing_N
bash_up-02	bash_up_V,bashing_up_N
bask-01	bask_V,basking_N
baste-01	baste_V
baste-02	baste_V
baste-03	baste_V
bat-01	bat_V,batting_N
bat-02	batting_N,bat_V
bat_in-03	bat_in_V
bathe-01	bathing_N,bathe_V,bath_N
batmitzvah-01	batmitzvah_V
batter-01	battering_N,batter_V
battle-01	battle_N,battle_V
bawl-01	bawl_V
bawl-02	bawl_V
bay-01	bay_V
bayonet-01	bayonet_V
be-01	be_V,being_N,art_V
be-02	be_V,being_N
be-03	be_V
be_all-05	be_all_V
be_like-04	be_like_V
beach-01	beach_V
bead-01	bead_V
bead-02	bead_V
bead_up-03	bead_up_V
beam-01	beam_V
beam-02	beam_V
bear-01	bearing_N,bear_V
bear-02	bear_V,bearing_N,birth_V,birth_N,birthing_N
bear-03	bear_V
bear-06	bear_V,bearing_N
bear_down-09	bear_down_V,bearing_down_N
bear_down-10	bear_down_V,bearing_down_N
bear_out-05	bear_out_V
bear_up-04	bear_up_V
beard-01	beard_V
beard-02	beard_V
beat-01	beating_N,beat_V
beat-02	beat_V,beat_N
beat-03	beat_V
beat_down-06	beat_down_V,beatdown_N
beat_out-04	beat_out_V
beat_up-05	beat_up_V
beatify-01	beatify_V
beautiful-02	beautiful_A,beauty_N
beautify-01	beautify_V
bechdel-01	bechdel_V
beckon-01	beckon_V
become-01	become_V
become-02	become_V,becoming_A
become-03	become_V
bed-02	bedding_N,bed_V
bed_down-01	bed_down_V
bedeck-01	bedeck_V
bedevil-01	bedevil_V
bedew-01	bedew_V
bedwet-01	bedwet_V,bedwetting_N
beef-02	beef_N
beef_up-01	beef_up_V
beep-01	beep_V
beep-02	beep_V
beetle-01	beetle_V
beetle-02	beetle_V
befall-01	befall_V
befit-01	befit_V
befriend-01	befriend_V
befuddle-01	befuddle_V
beg-01	beg_V
beget-01	beget_V
begin-01	begin_V,beginning_N
begin-02	begin_V,beginning_N
begrudge-01	begrudge_V
beguile-01	beguile_V
beguile-02	beguile_V
beguile-03	beguile_V
behave-01	behave_V
behead-01	behead_V,beheading_N
behind-01	behind_A
behind-02	behind_A
behind-03	behind_A
behold-01	behold_V
behoove-01	behoove_V
belay-01	belay_V
belch-01	belch_V,belching_N
belch_out-02	belch_out_V
beleaguer-01	beleaguer_V
belie-01	belie_V
believable-02	believable_A
believe-01	believe_V
belittle-01	belittle_V,belittling_N
bellow-01	bellow_V
belly_up-01	belly_up_V
bellyflop-01	bellyflop_V,belly-flop_V
belong-01	belong_V,belonging_N
belt-01	belt_V
belt-02	belt_V
belt-03	belt_V
belt_out-05	belt_out_V
bemoan-01	bemoan_V
bench-01	bench_V
benchsitting-01	benchsitting_N,bench-sitting_N,bench_sitting_N
benchsitting-02	benchsitting_N,bench-sitting_N,bench_sitting_N
bend-01	bent_A,bending_N,bend_N,bend_V
bend-02	bend_V
bendy-07	bendy_A
benefit-01	beneficial_A,benefit_N,benefit_V
benight-01	benighted_A,benight_V
benign-01	benign_A
bent-03	bent_A
bent-04	bent_A
bent-05	bent_A
bent-06	bent_A
bequeath-01	bequeath_V,bequest_N
berate-01	berate_V
bereave-01	bereave_V
berry-01	berry_V
berth-01	berth_V
beseech-01	beseech_V
beset-01	beset_V
besiege-01	besiege_V,siege_N
besmirch-01	besmirch_V
best-11	best_V
bestow-01	bestow_V
bestrew-01	bestrew_V
bestride-01	bestride_V
bet-01	bet_V,betting_N,bet_N
betray-01	betray_V,betrayal_N
betroth-01	betroth_V
better-01	better_V
bewail-01	bewail_V
beware-01	beware_V
bewilder-01	bewilder_V
bewitch-01	bewitch_V
bias-01	biased_A,bias_V,bias_N
bicker-01	bickering_N,bicker_V
bicycle-01	bicycle_V
bid-01	bid_V,bid_N,bidding_N
bid-02	bid_V
bid-03	bid_V,bid_N,bidding_N
bid-06	bid_N,bidding_N,bid_V
bidding-04	bidding_N
bide-01	bide_V
biff-01	biff_V
bifurcate-01	bifurcate_V,bifurcation_N
big-01	big_A,bigger_A
big-02	bigger_A,big_A
big-03	bigger_A,big_A
bigoted-01	bigoted_A
bike-01	biking_N,bike_V
bilateral-01	bilateral_A
bilk-01	bilk_V
bill-01	billing_N,bill_V
bill-02	bill_V
billet-01	billet_V
billow-01	billow_V
bin-01	bin_V
binarize-01	binarize_V,binarization_N
bind-01	bound_A,bind_V,binding_A,bound_A,binding_N
bind-02	bind_V,bound_A
bind_up-04	bind_up_V
binding-07	binding_A
binge-01	binge_V,binge_N
biopsy-101	biopsy_V,biopsy_N
biotinylate-01	biotinylate_V,biotinylation_N
biphasic-01	biphasic_A
birch-01	birch_V
birding-01	birding_N
birdnest-01	birdnest_V
bisect-01	bisect_V
