1500-01	1500_A
dispossess-01	dispossess_V
disprove-01	disprove_V
dispute-01	dispute_N,dispute_V
disqualify-01	disqualify_V
disquiet-01	disquiet_V
disregard-01	disregard_V
disrespect-01	disrespect_V
disrobe-01	disrobe_V
disrupt-01	disrupt_V,disruption_N
dissatisfy-01	dissatisfy_V,dissatisfaction_N
dissect-01	dissect_V,dissection_N
dissemble-01	dissemble_V
disseminate-01	disseminate_V,dissemination_N
dissent-01	dissent_V,dissention_N,dissent_N
disservice-01	disservice_V,disservice_V,disservice_N
dissimilar-01	dissimilar_A
dissimilate-01	dissimilate_V
dissimulate-01	dissimulate_V
dissipate-01	dissipate_V,dissipation_N
dissociate-01	dissociation_N,dissociate_V
dissolve-01	dissolve_V,dissolution_N
dissuade-01	dissuade_V
distal-01	distal_A
distance-01	distance_V
distant-02	distant_A
distemper-01	distemper_V
distend-01	distension_N,distended_A,distend_V,distention_N
distill-01	distill_V,distil_V
distinguish-01	distinguish_V,distinction_N
distort-01	distort_V,distortion_N,distorted_A
distract-01	distracting_A,distracted_A,distraction_N,distract_V
distrain-01	distrain_V
distress-01	distress_V,distressed_A
distribute-01	distribution_N,distribute_V
distrust-01	distrust_V
disturb-01	disturbing_A,disturbance_N,disturb_V
ditch-01	ditch_V
dither-01	dither_V
diurese-01	diurese_V
divaricate-01	divarication_N,divaricate_V,divaricate_A
dive-01	dive_V,diving_N
dive-02	dive_N,dive_V
diverge-01	diverge_V,divergence_N
diversify-01	diversification_N,diversify_V
divert-01	diversion_N,divert_V
divest-01	divest_V
divide-01	dividing_N,divide_V
divide-02	division_N,dividing_N,divide_V,divided_A,divisive_A
divide_up-03	dividing_up_N,divide_up_V
divine-01	divine_V
divorce-01	divorce_V,divorce_N,divorced_A
divorce-02	divorce_V
divulge-01	divulge_V
divvy_up-01	divvy_up_V
dizzy-01	dizzy_V,dizzying_A
dizzy-02	dizzy_A
dj-01	dj_V
dni-01	dni_V
dnr-01	dnr_V
do-01	do_V
do-02	do_V,doing_N
do-04	do_V
do-11	do_V,doing_N
do-12	do_V
do_away-05	do_away_V
do_in-03	do_in_V
doable-10	doable_A
docile-01	docile_A
dock-01	dock_V,dockings_N,dock_N,docking_N
doctor-01	doctor_V
document-01	documentation_N,document_V
dodder-01	dodder_V
dodge-01	dodge_V
doff-01	doff_V
dog-01	dog_V
dogsit-01	dogsit_V
dogsled-01	dogsledding_N,dogsled_V
doing-07	doing_N
dole_out-01	dole_out_V
doll-01	doll_V
doll_up-02	doll_up_V
dollarize-01	dollarize_V
domesticate-01	domesticate_V
dominate-01	dominant_A,dominion_N,domination_N,dominated_A,dominate_V,dominance_N
don-01	don_V
donate-01	donate_V,donation_N
done-08	done_V,done_A
done_for-06	done_for_V,done_for_A,do_for_V
dong-01	dong_V
doobydoobydo-01	doobydoobydo_V
doodle-01	doodle_V
doom-01	doomed_A,doom_V
dope-01	dope_V
dope-02	dope_V
dope-04	dope_A
dope_up-03	dope_up_V,doped_up_A
dorm-01	dorming_N,dorm_V
dorsiflex-01	dorsiflex_V,dorsiflexion_N
dose-01	dosing_N,dose_V
dot-01	dot_V
dote-01	dote_V
double-01	double_V,doubling_N
double-02	double_V
double-03	double_A
doublecross-01	doublecross_V,double-cross_V
doublewrap-01	doublewrap_V,double-wrap_V
doubt-01	doubt_V,doubt_N,doubtful_A
douche-01	douching_N,douche_V
douchey-01	douchey_A
douse-01	douse_V
dovetail-01	dovetail_V
down-01	down_V,downing_N
down-02	downing_N,down_V
down-03	down_A
downgo-01	downgo_V
downgrade-01	downgrade_V
downgrade-02	downgrade_V
downlink-01	downlink_V
download-01	downloading_N,download_V
downmodulate-01	downmodulate_V,downmodulation_N
downplay-01	downplay_V
downregulate-01	downregulate_V,downregulation_N
downscale-01	downscale_V,downscaling_N
downsize-01	downsize_V,downsizing_N
downvalue-01	downvalue_V
downwelling-01	downwelling_N
doze-01	doze_V
doze_off-02	doze_off_V
draft-01	draft_V,drafting_N
draft-02	draft_V,drafting_N
drag-01	drag_N,drag_V
drag_on-02	drag_on_V
drain-01	draining_N,drained_A,drain_V
dramatic-01	dramatic_A
dramatic-02	dramatic_A
dramatic-03	dramatic_A
drape-01	drape_V
draw-01	draw_V,drawing_N
draw-02	draw_V,draw_N,drawing_N,draw_down_N
draw-05	draw_V
draw_up-03	draw_up_V
draw_up-04	draw_up_V
drawdown-01	drawdown_N
drawl-01	drawl_V
dread-01	dread_V
dreadful-02	dreadful_A
dreadful-03	dreadful_A
dreadful-04	dreadful_A
dream-01	dream_V,dream_N,dreaming_N
dream_on-03	dream_on_V
dream_up-02	dream_up_V
dredge-01	dredge_V,dredging_N
dredge_up-02	dredge_up_V,dredging_up_N
drench-01	drench_V
dress-01	dressing_N,dress_V,dressed_A
dress_down-03	dress_down_V
dress_up-02	dress_up_V,dressed_up_A
dribble-01	dribbling_N,dribble_V
dribble-02	dribble_V,dribbling_N
drift-01	drift_V
drill-01	drill_V,drilling_N
drill-02	drill_V
drink-01	drink_N,drinking_N,drink_V
drink-02	drink_V
drink_up-03	drink_up_V
drip-01	drippy_A,drip_V
drip-02	drip_V
drive-01	drive_V,driving_N,drive_N,drive_around_N
drive-02	drive_V,driven_A
drive-03	drive_N
drive-04	drive_N
drizzle-01	drizzle_V
drone-01	drone_V
drool-01	drooling_N,drool_V
drool-02	drool_V
droop-01	drooping_N,droop_V
drop-01	drop_V,dropping_N,drop_N
drop-05	drop_V,dropping_N,drop_N
drop-06	drop_V,drop_N,dropping_N
drop-07	drop_V,dropping_N
drop_by-02	drop_by_V,dropping_by_N
drop_in-08	drop_in_N,drop_in_V
drop_off-03	drop_off_V,dropping_off_N
drop_out-04	drop_out_V,dropping_out_N
dropship-01	dropship_V,dropshipping_N
drought-01	drought_N
drown-01	drown_V
drown-02	drown_V
drown_out-03	drown_out_V
drowse-01	drowsy_A,drowse_V
drug-01	drug_V
drug_up-02	drug_up_V
drum-02	drum_V
drum_up-01	drum_up_V
drunk-01	drunk_A
dry-02	drying_N,dry_V
dry-04	dry_A
dry-05	dry_A
dry-06	dry_A
dry-07	dry_A
dry-08	dry_A
dry_out-03	dry_out_V
dry_up-01	dry_up_V
drydock-01	drydock_V
dub-01	dub_V
dubious-02	dubious_A
duck-01	duck_V
due-01	due_A
due-02	due_A
due-03	due_A
duel-01	duel_V,dueling_N
dull-01	dull_V
dull-02	dull_A
dull-03	dull_A
dull-04	dull_A
dumb-01	dumb_A
dumb-02	dumb_A
dumbfound-01	dumbfound_V
dump-01	dump_V,dumping_N
dumpy-02	dumpy_A
dung-01	dung_V
dungeonmaster-01	dungeon_master_V,dungeonmaster_V,dm_V
dunk-01	dunk_V
dunk-02	dunk_V
dupe-01	dupe_V
duplicate-01	duplication_N,duplicate_V
dusky-01	dusky_A
dust-01	dust_V,dusting_N
dust-02	dust_V
dust_off-03	dust_off_V
duststorm-01	duststorm_N,dust-storm_N,dust_storm_N
dwarf-01	dwarf_V
dwell-01	dwell_V
dwindle-01	dwindle_V
dye-01	dye_V,dyed_A
dyke-01	dyke_V
dynamic-01	dynamic_A
dysfunction-01	dysfunctional_A,dysfunction_N
dyspigmentation-01	dyspigmentation_N
dysplastic-01	dysplastic_A
dysregulate-01	dysregulate_V,dysregulation_N
eager-01	eager_A
early-01	early_A
early-02	early_A
earmark-01	earmark_V
earn-01	earn_V
earnest-01	earnest_A
earthmoving-01	earthmoving_A
earthmoving-02	earthmoving_A
earthquake-01	earthquake_N,earthquake_V
ease-01	ease_V
ease-02	easing_N,ease_V
ease-03	ease_V
ease-06	easing_N,ease_V
ease_up-04	ease_up_V
easy-05	easy_A,easy_A,easier_A
eat-01	eat_V,eating_N
eat_away-03	eat_away_V
eat_up-02	eat_up_V
eavesdrop-01	eavesdrop_V,eavesdropping_N
ebb-01	ebb_V
echo-01	echo_N,echo_V
echo-02	echo_N
eclipse-01	eclipse_V
economize-01	economize_V
ectatic-01	ectatic_A
eddy-01	eddy_V
edematous-01	edematous_A
edentulous-01	edentuous_A,edentulous_A
edge-01	edge_V
edge-03	edge_V
edge_out-02	edge_out_V
edgy-04	edgy_A
edgy-05	edgy_A
edify-01	edify_V,edification_N
edit-01	edit_V,editing_N
editorialize-01	editorialize_V
educate-01	educate_V,education_N,educating_N,educated_A
eek-01	eek_V
efface-01	efface_V
efface-02	efface_V
efface-03	efface_V
effect-03	effect_N,effect_V
effective-04	effective_A,effectiveness_N
effectuate-01	effectuate_V
effeminate-01	effeminate_V
effervesce-01	effervesce_V
efficacious-01	efficacious_A
efficient-01	efficient_A,efficiency_N
efflux-01	efflux_V
effort-01	effort_N
effuse-01	effusion_N,effuse_V
effuse-02	effuse_V,effusion_N
egg-01	egg_V
egg_on-02	egg_on_V
egress-01	egress_N,egress_V
ehh-01	ehh_A
ejaculate-01	ejaculate_V,ejaculation_N
ejaculate-02	ejaculation_N,ejaculate_V
eject-01	ejection_N,eject_V
eke-01	eke_V
eke_out-02	eke_out_V
elaborate-01	elaboration_N,elaborate_V
elapse-01	elapse_V
elate-01	elate_V
elbow-01	elbow_V
elect-01	election_N,elect_V
elect-02	elect_N,elect_V
electable-05	electable_A
electoral-03	electoral_A
electoral-04	electoral_A
electrify-01	electrify_V
electrocute-01	electrocute_V
electroplate-01	electroplate_V
elevate-01	elevate_V,elevation_N,elevated_A
elicit-01	elicit_V
eligible-01	eligible_A
eliminate-01	elimination_N,eliminate_V
elongate-01	elongate_V
elucidate-01	elucidate_V
elude-01	elude_V,elusive_A
elute-01	elute_V,elution_N
emaciate-01	emaciate_V
email-01	email_N,email_V
emanate-01	emanate_V
emancipate-01	emancipation_N,emancipate_V
emasculate-01	emasculate_V
embalm-01	embalm_V
embargo-01	embargo_V
embark-01	embark_V
embarrass-01	embarrass_V,embarrassed_A,embarrassing_A
embattle-01	embattle_V
embed-01	embed_V
embellish-01	embellish_V
embezzle-01	embezzle_V
embitter-01	embitter_V
emblazon-01	emblazon_V
embody-01	embody_V
embolden-01	embolden_V
embolize-01	embolize_V,embolization_N
emboss-01	emboss_V
embrace-01	embrace_V,embrace_N
embrace-02	embrace_N,embrace_V
embrocate-01	embrocate_V
embroider-01	embroider_V
embroil-01	embroil_V
emcee-01	emcee_V
emerge-01	emerge_V
emerge-02	emerge_V
emigrate-01	emigrate_V
emit-01	emit_V,emission_N
emo-01	emo_A
emote-01	emote_V
emotional-02	emotional_A
empathize-01	empathize_V
emphasize-01	emphasize_V,emphasis_N
emphaticize-01	emphaticize_V
emplace-01	emplace_V
employ-01	employed_A,employment_N,employ_V
employ-02	employ_V,employment_N
empower-01	empower_V
empty-01	emptying_N,empty_V
empty-02	empty_A
emulate-01	emulate_V,emulation_N
emulsify-01	emulsify_V
enable-01	enable_V
enact-01	enactment_N,enact_V
enamel-01	enamel_V
encapsulate-01	encapsulate_V
encase-01	encase_V
enchain-01	enchain_V
enchant-01	enchant_V
encircle-01	encircle_V
enclose-01	enclose_V
encode-01	encode_V
encompass-01	encompass_V
encounter-01	encounter_N,encounter_V
encourage-01	encouragement_N,encourage_V,encouraging_A
encourage-02	encouragement_N,encouraging_A,encourage_V
encroach-01	encroach_V
encrust-01	encrust_V
encrypt-01	encrypt_V,encryption_N
encumber-01	encumber_V
end-01	end_V,end_N,ending_N
end-02	end_V
end_up-03	end_up_V
endanger-01	endangered_A,dangerous_A,endanger_V
endear-01	endear_V
endeavor-01	endeavor_V,endeavor_N
endorse-01	endorsement_N,endorse_V
endorse-02	endorse_V
endow-01	endowment_N,endow_V
endure-01	endure_V
energize-01	energize_V
enervate-01	enervate_V
enflame-01	enflame_V
enforce-01	enforce_V
engage-01	engagement_N,engage_V,engaged_A
engagement-02	engagement_N,engaged_A
engender-01	engender_V
engineer-01	engineering_N,engineer_V
engraft-01	engraft_V
engrave-01	engrave_V
engross-01	engross_V
engulf-01	engulf_V
enhance-01	enhancing_A,enhance_V
enjoin-01	enjoin_V
enjoy-01	enjoy_V
enjoyable-02	enjoyable_A
enlarge-01	enlarge_V,enlarged_A
enlighten-01	enlightening_A,enlighten_V
enlist-01	enlist_V
enliven-01	enliven_V
enough-01	enough_A
enquire-01	enquire_V
enrage-01	enrage_V
enrapture-01	enrapture_V
enrich-01	enrich_V
enroll-01	enroll_V,enrol_V,enrollment_N,enrolment_N
ensconce-01	ensconce_V
enshrine-01	enshrine_V
enslave-01	enslave_V
ensnare-01	ensnare_V
ensnarl-01	ensnarl_V
ensue-01	ensue_V
ensure-01	sure_A,ensure_V
entail-01	entail_V
entangle-01	entangle_V,entangled_A
enter-01	enter_V,entering_N,entrance_N,entry_N
enter-02	enter_V,entry_N
entertain-01	entertained_A,entertain_V
entertain-02	entertain_V
enthrall-01	enthrall_V
enthuse-01	enthuse_V
enthuse-02	enthuse_V
enthusiastic-03	enthusiastic_A
entice-01	entice_V
entitle-01	entitle_V
entitle-02	entitle_V
entomb-01	entomb_V
entrance-03	entrance_V
entrap-01	entrap_V
entreat-01	entreat_V
entrench-01	entrench_V
entropic-01	entropic_A
entrust-01	entrust_V
entwine-01	entwine_V
enumerate-01	enumerate_V,enumeration_N
enunciate-01	enunciate_V,enunciation_N
envelop-01	envelop_V
envisage-01	envisage_V
envision-01	envision_V
envy-01	envy_V
epidemic-01	epidemic_N
epilate-01	epilate_V,epilation_N
epimutate-01	epimutate_V,epimutation_N
epithelialize-01	epithelialization_N,epithelialize_V
epitomize-01	epitomize_V
epoxy-01	epoxy_V
equal-01	equality_N,equal_V,equal_A
equal-02	equal_A
equalize-03	equalize_V
equate-01	equate_V,equation_N
equilibrate-01	equilibrate_V
equip-01	equip_V,equipped_A
equivalent-01	equivalent_A
equivocate-01	equivocal_A,equivocate_V
eradicate-01	eradication_N,eradicate_V
erase-01	erase_V
erect-01	erection_N,erect_V
erode-01	erode_V,erosion_N
err-01	error_N,err_V
eruct-01	eruct_V
erupt-01	eruption_N,erupt_V
erupt-02	erupt_V
erythematous-01	erythematous_A
escalate-01	escalate_V,escalation_N
escape-01	escape_V,escape_N
eschew-01	eschew_V
escort-01	escort_V
espouse-01	espouse_V
espy-01	espy_V
essay-01	essay_V
essential-01	essential_A
establish-01	establish_V,establishment_N
esteem-01	esteem_V
estimate-01	estimate_V,estimation_N,estimate_N
estrange-01	estrange_V
etch-01	etch_V
eternalize-01	eternalize_V
ethical-01	ethical_A
etiolate-01	etiolate_V
eulogize-01	eulogize_V
euphemize-01	euphemize_V
european-02	european_A
europeanize-01	europeanize_V
euthymic-01	euthymic_A
euvolemic-01	euvolemic_A
evacuate-01	evacuate_V,evacuation_N
evade-01	evade_V,evasion_N
evaluate-01	evaluate_V,evaluation_N
evaluate-101	evaluate_V
evangelize-01	evangelize_V
evaporate-01	evaporation_N,evaporate_V
even-02	even_A,even_V
even-03	even_A
even_out-01	even_out_V,evening_out_N
eventuate-01	eventuate_V
evert-01	evert_V,eversion_N,everted_A
evict-01	evict_V
evidence-01	evident_A,evidence_V
evil-01	evil_A
evince-01	evince_V
eviscerate-01	eviscerate_V
evoke-01	evoke_V
evolve-01	evolve_V,evolution_N
evolve-02	evolve_V,evolution_N
evulse-01	evulsion_N,evulse_V
exacerbate-01	exacerbate_V,exacerbation_N
exact-01	exact_V,exaction_N
exaggerate-01	exaggeration_N,exaggerate_V
exalt-01	exalt_V,exalted_A
examination-02	examination_N,exam_N
examine-01	examination_N,examine_V
exasperate-01	exasperate_V
excavate-01	excavate_V,excavation_N
exceed-01	exceed_V
excel-01	excel_V,excellent_A
excellent-02	excellent_A
excellent-03	excellent_A
except-01	except_V,exception_N
except-02	except_V
excerpt-01	excerpt_V
excessive-02	excessive_A
exchange-01	exchange_V,exchange_N
excise-01	excise_V,excision_N
excite-01	excite_V,exciting_A,excitement_N,excited_A
exclaim-01	exclaim_V
exclude-01	exclusive_N,exclude_V,exclusion_N
exclusive-02	exclusive_A
excommunicate-01	excommunication_N,excommunicate_V
excoriate-01	excoriation_N,excoriate_V
excoriate-02	excoriate_V,excoriation_N
excrete-01	excretion_N,excrete_V
excruciate-01	excruciate_V
excuse-01	excuse_V
excuse-02	excuse_N
execrate-01	execrate_V
execute-01	execution_N,execute_V
execute-02	execute_V,execution_N
exemplify-01	exemplify_V
exempt-01	exempt_V,exemption_N,exempt_A
exenterate-01	exenterate_V,exenteration_N
exercise-01	exercise_N,exercise_V
exercise-02	exercise_V,exercise_N
exert-01	exertion_N,exert_V
exfoliate-01	exfoliate_V
exhale-01	exhale_V
exhaust-01	exhaustion_N,exhaust_V,exhausting_A,exhausted_A
exhibit-01	exhibition_N,exhibit_V
exhilarate-01	exhilarate_V
exhort-01	exhort_V
exhume-01	exhume_V
exile-01	exile_V,exile_N
exist-01	existing_N,exist_V,existent_A
exit-01	exit_V,exit_N
exonerate-01	exonerate_V
exorcise-01	exorcise_V
expand-01	expansion_N,expanded_A,expand_V
expect-01	expectation_N,expect_V,expectative_A
expectorate-01	expectorate_V
expedite-01	expedite_V
expedition-01	expedition_N
expel-01	expel_V,expulsion_N
expend-01	expend_V,expenditure_N
expense-01	expense_V
expensive-02	expensive_A
experience-01	experience_N,experience_V,experienced_A
experiment-01	experiment_N,experiment_V,experimentation_N
expert-01	expert_A
expiate-01	expiate_V
expire-01	expire_V,expired_A,expiration_N
expire-02	expiration_N,expire_V
explain-01	explanation_N,explain_V
explicate-01	explicate_V
explicit-02	explicit_A
explicit-03	explicit_A
explode-01	explosion_N,explode_V
explode-02	explosion_N,explode_V
explode-03	explode_V,explosion_N
exploit-01	exploitation_N,exploit_V,exploiting_N
explore-01	exploration_N,explore_V,exploring_N
export-01	export_V
expose-01	exposure_N,expose_V
expound-01	expound_V
express-01	express_V,expression_N
express-02	express_V
express-03	express_V,expression_N
expropriate-01	expropriate_V,expropriation_N
expunge-01	expunge_V
expurgate-01	expurgate_V
extend-01	extend_V,extension_N
extend-02	extend_V,extension_N
extensive-03	extensive_A
exterminate-01	extermination_N,exterminate_V
extinct-02	extinct_A
extinction-01	extinction_N
extinguish-01	extinguish_V
extirpate-01	extirpate_V
extol-01	extol_V
extort-01	extort_V,extortion_N
extra-01	extra_A
extraaxial-01	extraaxial_A
extract-01	extraction_N,extract_V,extracting_N
extraction-02	extraction_N
extradite-01	extradition_N,extradite_V
extrafamilial-01	extrafamilial_A
extrapolate-01	extrapolate_V,extrapolation_N,extrapolating_N
extravagant-01	extravagant_A
extravasate-01	extravasation_N,extravasate_V
extreme-01	extreme_A
extricate-01	extricate_V
extrude-01	extrude_V,extrusion_N
extubate-01	extubation_N,extubate_V
exude-01	exudative_A,exude_V
exult-01	exult_V
eye-01	eye_V
eyeball-01	eyeball_V
fabricate-01	fabrication_N,fabricate_V
fabulous-01	fabulous_A
fabulous-02	fabulous_A
fabulous-03	fabulous_A
face-01	face_V
face_off-02	face_off_V
facelift-01	facelift_V
facetime-01	facetime_V
facilitate-01	facilitation_N,facilitate_V
factor-01	factor_V
fade-01	fade_V
fail-01	fail_V,failing_N,failure_N
fail-02	fail_V,failing_N,failure_N
faint-01	fainting_N,faint_V
faint-02	faint_A
faint-03	faint_A
fair-01	fair_A
fair-02	fair_A
fair-03	fair_A
fair-04	fair_A
faithful-01	faithful_A
fake-01	fake_V
fake-02	fake_A
fall-01	fall_V,falling_N,fall_N
fall-04	falling_N,fall_V
fall-05	fall_V,falling_N,fall_N
fall-07	fall_V,fall_N,falling_N
fall-10	fall_V
fall-12	fall_N
fall_apart-09	falling_apart_N,fall_apart_V
fall_back-08	falling_back_N,fall_back_V
fall_off-02	falling_off_N,fall_off_V
fall_out-03	falling_out_N,fall_out_V
fall_over-11	falling_over_N,fall_over_V
fall_through-06	falling_through_N,fall_through_V
fallout-01	fallout_N
falsify-01	falsify_V
falter-01	falter_V
fame-01	famous_A,fame_V,fame_N
familiar-02	familiar_A
familiarize-01	familiarize_V,familiar_A
famish-01	famish_V
fan-01	fan_V
fanaticize-01	fanaticize_V
fancy-01	fancy_V
fancy-02	fancy_V,fancy_N
fantasize-01	fantasize_V
fantastic-02	fantastic_A
fantastic-03	fantastic_A
fantastic-04	fantastic_A
fap-01	fap_V
fap_away-02	fap_away_V
far-01	far_A
farcical-01	farcical_A
fare-01	fare_V
farfetched-01	farfetched_A
farm-01	farming_N,farm_V
farm_out-02	farm_out_V
farnesylate-01	farnesylate_V,farnesylation_N
fart-01	fart_V,farting_N
fart_around-02	fart_around_V
fascinate-01	fascinating_A,fascinate_V,fascination_N
fashion-01	fashion_V
fashionable-02	fashionable_A
fast-01	fasting_N,fast_V
fast-02	fast_A,faster_A
fasten-01	fasten_V
fastforward-01	fastforward_V,fast-forward_V
fasttrack-01	fasttrack_V
fat-03	fat_A
fatal-01	fatal_A
fate-01	fate_V
father-01	father_V
fathom-01	fathom_V
fatigue-01	fatigued_A,fatigue_V
fatten-01	fatten_V
fatten_up-02	fatten_up_V
fault-01	fault_V,fault_N,faulty_A
fault-02	fault_V,faulty_A,fault_N
favor-01	favor_N,favorable_A,favor_V,favour_N,favourable_A,favour_V
favor-02	favor_V
favor-03	favor_V
favorable-04	favorable_A
fawn-01	fawn_V
fax-01	fax_N,fax_V
faze-01	faze_V
fear-01	fearful_A,afraid_A,fear_N,fear_V
feasible-01	feasible_A
feast-01	feast_V
feather-01	feather_V
feature-01	feature_V
febrile-01	febrile_A
fed_up-01	fed_up_A
federalize-01	federalize_V
federalize-02	federalize_V
federate-01	federation_N,federate_V
fedex-01	FedEx_V,fedex_V
feed-01	feeding_N,feed_V
feed-02	feed_V
feed_up-03	feed_up_V
feedback-01	feedback_N,feedback_N
feel-01	feeling_N,feel_V
feel-02	feel_V
feel-03	feel_V
feel-05	feel_V
feel-06	feel_V
feel_up-04	feel_up_V
feign-01	feign_V
feint-01	feint_V
felicitate-01	felicitate_V
fell-01	fell_V
fellate-01	fellate_V
female-01	female_A
feminize-01	feminize_V
fence-02	fencing_N,fence_V
fence_off-01	fence_off_V
fend-01	fend_V
fend_off-02	fend_off_V
ferment-01	fermentation_N,ferment_V
ferret_out-01	ferret_out_V
ferry-01	ferry_V
fertilize-01	fertilize_V
fess_up-01	fess_up_V
fester-01	fester_V
festoon-01	festoon_V
fetch-01	fetch_V
fetter-01	fetter_V
feud-01	feuding_N,feud_N,feud_V
feudal-01	feudal_A
few-01	few_A
fibrillate-01	fibrillate_V,fibrillation_N
fibroinflammatory-01	fibroinflammatory_A
fibrose-01	fibrotic_A,fibrose_V
fibrose-02	fibrous_A,fibrose_A
fiddle-01	fiddle_V
fidget-01	fidget_V
field-01	field_V
fieldwork-01	fieldwork_N
fierce-01	fierce_A
fiery-06	fiery_A
fight-01	fight_V,fight_N,fighting_N
fight_back-04	fight_back_V
fight_off-02	fight_off_V
fight_on-03	fight_on_V
figure-01	figure_V
figure-02	figure_V
figure-03	figure_V
figure-04	figure_V
figure-06	figure_V
figure_out-05	figure_out_V
filch-01	filch_V
file-01	file_N,filing_N,file_V
file-03	file_V
filibuster-01	filibuster_V
fill-01	full_A,filling_N,fill_V
fill-06	fill_V,filling_N
fill_in-05	filling_in_N,fill_in_V
fill_in-07	fill_in_V
fill_in-08	fill_in_V
fill_out-03	fill_out_V
fill_out-04	fill_out_V
fill_up-02	fill_up_V
fillet-01	fillet_V
film-01	filming_N,film_V
filter-02	filtration_N,filter_V
filter-03	filter_V
finagle-01	finagle_V
finalize-01	finalize_V
finance-01	financing_N,financing_A,finance_V,finance_N
finance-02	finance_V
financial-03	financial_A
find-01	find_V,find_N,finding_N
find-02	find_V
find_out-03	find_out_V
fine-01	fine_V,fine_N
fine-02	fine_A
fine-03	fine_A
fine-04	fine_A
finesse-01	finesse_V
finetune-01	finetune_V,fine-tune_V,finetuning_N,fine-tuning_N
finger-01	finger_V
finger-02	finger_V
finger-03	finger_V
finish-01	finished_A,finish_V
finish-02	finish_N,finish_V
finish-03	finish_V
finish-07	finish_N
finish_off-05	finish_off_V
finish_out-06	finish_out_V
finish_up-04	finish_up_V
fire-01	fire_N,fire_V
fire-02	firing_N,fire_V
fire-03	fire_V
fire-04	fire_V
fire-05	fire_N,forest_fire_N
firefight-05	firefight_N,firefight_V
fireproof-01	fireproof_V
firm-01	firm_V
firm-03	firm_A,firmer_A
firm_up-02	firm_up_V
fish-01	fish_V,fishing_N
fishy-02	fishy_A
fissure-101	fissure_V,fissuring_N
fistulize-01	fistulize_V
fit-01	fitting_N,fit_V
fit-03	fit_A
fit-04	fit_N
fit-05	fit_A
fit-06	fit_N,fitting_N,fitting_A,fit_V,fit_A
fit_in-02	fitting_in_N,fit_in_V
fix-01	fix_V
fix-02	fixed_A,fix_V,fix_N
fix-03	fix_V,fix_N,fixed_A
fix_up-04	fix_up_V
fixate-01	fixate_V,fixation_N
fizz-01	fizz_V
fizzle-01	fizzle_V
flabbergast-01	flabbergast_V
flaccid-01	flaccid_A
flag-01	flag_V
flag-02	flag_V
flagellate-01	flagellate_V
flail-01	flail_V
flake-01	flake_V,flaking_N
flake-02	flake_V
flake_out-03	flake_out_V
flamboyant-01	flamboyant_A
flame-01	flame_V
flank-01	flank_V
flap-01	flap_V
flare-02	flare_V
flare-03	flare_V
flare_up-01	flare_up_V
flash-01	flash_N,flash_V,flashing_N
flash-02	flash_V
flash_back-03	flash_back_V
flashflood-01	flashflood_N,flash-flood_N,flash_flood_N
flat-03	flat_A
flat-04	flat_A
flat-05	flat_A
flat-06	flat_A
flatten-01	flattening_N,flatten_V
flatten_out-02	flatten_out_V
flatter-01	flatter_V
flatulent-01	flatulent_A
flaunt-01	flaunt_V
flavor-01	flavor_N
flavor-02	flavor_V
flaw-01	flaw_V,flaw_N,flawed_A
flay-01	flay_V
fleck-01	fleck_V
fledge-01	fledge_V
flee-05	flee_V,fleeing_N,flight_N
fleece-01	fleece_V
flesh_out-01	flesh_out_V
flex-01	flex_V,flexion_N
flex-02	flex_V
flexible-03	flexible_A
flexible-04	flexible_A
flick-01	flick_V
flick-02	flick_V
flick-03	flick_V
flicker-01	flicker_V,flickering_N
flinch-01	flinch_V
fling-01	fling_V
flintknapping-01	flintknapping_N
flip-01	flip_V,flipping_N
flip_off-03	flip_off_V,flip_off_N
flip_out-02	flip_out_V
flipflop-01	flipflop_V,flip-flop_V
flirt-01	flirt_V
flit-01	flit_V
float-01	float_V,floating_N,flotation_N
float-02	float_V,floating_N
flock-01	flock_V
flock-02	flock_V
flog-01	flog_V
flood-01	flood_V,flood_N,flooding_N
floor-01	floor_V
floor-02	floor_V
flop-01	flop_V
flop-02	flop_V,flop_N,flopping_N
floss-01	floss_V,flossing_N
flounce-01	flounce_V
flounder-01	flounder_V
flour-01	flour_V
flourish-01	flourish_V
flout-01	flout_V
flow-01	flow_V,flow_N
flow-02	flow_N
flower-01	flower_V
fluctuate-01	fluctuant_A,fluctuation_N,fluctuate_V
fluent-01	fluent_A
fluff-01	fluff_V
fluid-01	fluid_A
fluid-02	fluid_A
fluid-03	fluid_A
flunk-01	flunk_V
fluoresce-01	fluoresce_V
fluoridate-01	fluoridate_V,fluoridation_N
flurry-01	flurry_V,flurry_N
flush-01	flush_V,flushing_N
flush-03	flush_V,flushing_N
flush_out-02	flush_out_V
fluster-01	fluster_V,flustered_A
flutter-01	flutter_V,fluttering_N
flux-01	flux_V
flux-02	flux_V
flux-03	flux_V
fly-01	fly_V,flight_V,flight_N,flying_N
fly-02	fly_V
fly-03	fly_V
fly-06	fly_V
fly_out-04	fly_out_V
fna-01	fna_V
foal-01	foal_V
foam-01	foam_V,foaming_N
fob_off-01	fob_off_V
focal-02	focal_A
focalize-01	focalize_V
focus-01	focused_A,focus_V
fog-01	fog_V
foggy-02	foggy_A
foggy-03	foggy_A
foil-01	foil_V
foist-01	foist_V
fold-01	fold_V
fold-02	fold_V
fold-03	fold_V
fold-04	fold_V
fold-06	fold_V
fold_up-05	fold_up_V
